Date,Monthly average of official Bank Rate,"Monthly average Effective exchange rate index, Sterling (Jan 2005 = 100)                           XUMABK67","Monthly average Effective exchange rate index, US$ (1990 average = 100)              [c]             XUMAUSG"
31 May 23,4.425,80.1035,n/a
30 Apr 23,4.25,79.2799,n/a
31 Mar 23,4.0761,78.2598,n/a
28 Feb 23,3.975,77.7911,n/a
31 Jan 23,3.5,78.2669,n/a
31 Dec 22,3.25,79.0206,n/a
30 Nov 22,2.9318,78.1134,n/a
31 Oct 22,2.25,76.962,n/a
30 Sep 22,1.9167,76.3134,n/a
31 Aug 22,1.6818,79.0737,n/a
31 Jul 22,1.25,78.9023,n/a
30 Jun 22,1.1375,79.3193,n/a
31 May 22,0.9762,79.8792,n/a
30 Apr 22,0.75,81.2427,n/a
31 Mar 22,0.6196,81.7621,n/a
28 Feb 22,0.475,82.5552,n/a
31 Jan 22,0.25,82.689,n/a
31 Dec 21,0.1714,81.3783,n/a
30 Nov 21,0.1,81.4505,n/a
31 Oct 21,0.1,82.021,n/a
30 Sep 21,0.1,81.5341,n/a
31 Aug 21,0.1,81.9496,n/a
31 Jul 21,0.1,81.8041,n/a
30 Jun 21,0.1,82.0055,n/a
31 May 21,0.1,81.947,n/a
30 Apr 21,0.1,81.3857,n/a
31 Mar 21,0.1,81.6646,n/a
28 Feb 21,0.1,80.6186,n/a
31 Jan 21,0.1,79.0488,n/a
31 Dec 20,0.1,78.064,n/a
30 Nov 20,0.1,78.2566,n/a
31 Oct 20,0.1,77.4291,n/a
30 Sep 20,0.1,77.2177,n/a
31 Aug 20,0.1,78.1615,n/a
31 Jul 20,0.1,76.9585,n/a
30 Jun 20,0.1,76.9364,n/a
31 May 20,0.1,77.1553,n/a
30 Apr 20,0.1,78.0987,n/a
31 Mar 20,0.3477,76.8144,n/a
29 Feb 20,0.75,80.59,n/a
31 Jan 20,0.75,80.2698,n/a
31 Dec 19,0.75,80.5618,n/a
30 Nov 19,0.75,79.5049,n/a
31 Oct 19,0.75,78.132,n/a
30 Sep 19,0.75,76.5179,n/a
31 Aug 19,0.75,74.769,n/a
31 Jul 19,0.75,75.9949,n/a
30 Jun 19,0.75,77.0842,n/a
31 May 19,0.75,78.6843,n/a
30 Apr 19,0.75,79.3295,n/a
31 Mar 19,0.75,79.8061,n/a
28 Feb 19,0.75,78.7057,n/a
31 Jan 19,0.75,77.688,n/a
31 Dec 18,0.75,76.6052,n/a
30 Nov 18,0.75,78.198,n/a
31 Oct 18,0.75,78.5234,n/a
30 Sep 18,0.75,78.0443,n/a
31 Aug 18,0.7386,77.2638,n/a
31 Jul 18,0.5,78.0807,n/a
30 Jun 18,0.5,78.3781,100.6235
31 May 18,0.5,78.7104,99.5933
30 Apr 18,0.5,80.1815,97.0596
31 Mar 18,0.5,79.1874,96.8196
28 Feb 18,0.5,78.9787,96.5573
31 Jan 18,0.5,78.8804,97.4915
31 Dec 17,0.5,78.2371,100.1667
30 Nov 17,0.4886,77.5702,100.464
31 Oct 17,0.25,77.2734,100.0417
30 Sep 17,0.25,77.1685,98.2328
31 Aug 17,0.25,75.512,99.1832
31 Jul 17,0.25,76.9781,100.8567
30 Jun 17,0.25,77.0338,102.6298
31 May 17,0.25,78.6033,104.1018
30 Apr 17,0.25,78.1826,104.4958
31 Mar 17,0.25,76.5394,105.4264
28 Feb 17,0.25,77.5824,104.8863
31 Jan 17,0.25,76.9968,105.7638
31 Dec 16,0.25,78.2758,106.6534
30 Nov 16,0.25,76.6855,104.0045
31 Oct 16,0.25,74.6939,101.5297
30 Sep 16,0.25,78.6799,99.4531
31 Aug 16,0.2841,78.3606,99.0674
31 Jul 16,0.5,79.3772,100.4826
30 Jun 16,0.5,84.9238,99.28
31 May 16,0.5,86.6549,100.0852
30 Apr 16,0.5,84.927,99.9254
31 Mar 16,0.5,85.7468,102.3772
29 Feb 16,0.5,86.6592,104.1288
31 Jan 16,0.5,88.4527,106.6455
31 Dec 15,0.5,91.5012,106.0168
30 Nov 15,0.5,93.3405,105.8678
31 Oct 15,0.5,91.5605,102.9716
30 Sep 15,0.5,91.8012,103.5211
31 Aug 15,0.5,93.4381,104.1208
31 Jul 15,0.5,93.284,103.8793
30 Jun 15,0.5,92.0894,102.2521
31 May 15,0.5,91.295,101.2773
30 Apr 15,0.5,90.1297,102.7609
31 Mar 15,0.5,90.3732,103.5679
28 Feb 15,0.5,90.0423,100.9941
31 Jan 15,0.5,87.7208,99.4157
31 Dec 14,0.5,87.5084,96.3494
30 Nov 14,0.5,86.9781,94.6044
31 Oct 14,0.5,87.3534,91.6232
30 Sep 14,0.5,87.5039,90.2762
31 Aug 14,0.5,87.7645,87.7803
31 Jul 14,0.5,88.7387,86.4809
30 Jun 14,0.5,87.6795,86.6663
31 May 14,0.5,86.8395,86.4278
30 Apr 14,0.5,86.1716,86.6874
31 Mar 14,0.5,85.5269,86.88
28 Feb 14,0.5,85.7378,87.1033
31 Jan 14,0.5,85.4222,87.5078
31 Dec 13,0.5,84.4204,86.6455
30 Nov 13,0.5,83.5617,86.0785
31 Oct 13,0.5,82.6676,84.8178
30 Sep 13,0.5,82.7393,85.9362
31 Aug 13,0.5,80.9894,85.9313
31 Jul 13,0.5,79.9698,87.1471
30 Jun 13,0.5,80.9967,85.9219
31 May 13,0.5,80.4286,87.1556
30 Apr 13,0.5,80.1289,86.0821
31 Mar 13,0.5,79.0951,85.6327
28 Feb 13,0.5,79.7012,83.8242
31 Jan 13,0.5,82.1724,82.2311
31 Dec 12,0.5,83.58,80.9143
30 Nov 12,0.5,83.6808,80.9892
31 Oct 12,0.5,83.6196,79.7977
30 Sep 12,0.5,84.2263,79.5712
31 Aug 12,0.5,84.0155,81.1751
31 Jul 12,0.5,84.0006,82.1002
30 Jun 12,0.5,83.0904,81.9948
31 May 12,0.5,83.8068,81.0915
30 Apr 12,0.5,82.5667,80.2479
31 Mar 12,0.5,81.4148,80.6416
29 Feb 12,0.5,80.9911,79.4447
31 Jan 12,0.5,81.1127,80.2094
31 Dec 11,0.5,80.9046,80.1412
30 Nov 11,0.5,80.4724,79.1816
31 Oct 11,0.5,79.5319,78.5091
30 Sep 11,0.5,79.2594,78.0538
31 Aug 11,0.5,79.6334,76.2987
31 Jul 11,0.5,78.7589,76.6807
30 Jun 11,0.5,78.8754,77.233
31 May 11,0.5,79.7731,77.4426
