Date,CPI,Unemployment,Oil and fuels,AWE,Bank rate
2001-03-01,0.9,5.0,7.3,6.2,5.75
2001-04-01,1.2,4.9,6.7,6.3,5.5395
2001-05-01,1.7,5.0,11.8,5.1,5.3214
2001-06-01,1.7,5.0,10.0,5.5,5.25
2001-07-01,1.4,5.1,0.1,5.2,5.25
2001-08-01,1.8,5.1,-2.5,5.2,5.0114
2001-09-01,1.3,5.1,-5.9,4.8,4.8875
2001-10-01,1.2,5.1,-21.4,4.7,4.5326
2001-11-01,0.8,5.2,-22.7,4.5,4.1136
2001-12-01,1.1,5.2,-23.2,4.1,4.0
2002-01-01,1.6,5.1,-13.5,3.8,4.0
2002-02-01,1.5,5.2,-16.6,3.3,4.0
2002-03-01,1.5,5.2,-10.4,3.2,4.0
2002-04-01,1.4,5.2,-5.2,3.1,4.0
2002-05-01,0.8,5.2,-8.0,3.3,4.0
2002-06-01,0.6,5.2,-10.1,3.5,4.0
2002-07-01,1.1,5.2,-8.4,3.8,4.0
2002-08-01,1.0,5.3,-7.5,3.5,4.0
2002-09-01,1.0,5.2,-9.3,3.3,4.0
2002-10-01,1.4,5.2,5.6,3.0,4.0
2002-11-01,1.5,5.1,3.9,2.9,4.0
2002-12-01,1.7,5.0,18.4,2.7,4.0
2003-01-01,1.3,5.1,19.7,2.6,4.0
2003-02-01,1.6,5.2,38.8,2.4,3.7875
2003-03-01,1.5,5.1,35.2,2.9,3.75
2003-04-01,1.4,5.0,5.9,3.1,3.75
2003-05-01,1.3,4.9,1.2,3.3,3.75
2003-06-01,1.1,5.1,2.2,2.8,3.75
2003-07-01,1.3,5.1,5.7,2.7,3.5761
2003-08-01,1.4,5.0,9.9,2.9,3.5
2003-09-01,1.4,5.0,-1.9,3.1,3.5
2003-10-01,1.4,4.9,2.3,3.5,3.5
2003-11-01,1.3,4.9,10.9,3.6,3.7125
2003-12-01,1.3,4.8,5.1,3.9,3.75
2004-01-01,1.4,4.8,-0.4,4.0,3.75
2004-02-01,1.3,4.8,-13.4,3.9,3.9625
2004-03-01,1.1,4.8,-14.6,3.7,4.0
2004-04-01,1.1,4.8,11.7,3.8,4.0
2004-05-01,1.5,4.8,23.2,4.1,4.2237
2004-06-01,1.6,4.8,19.4,4.3,4.4205
2004-07-01,1.4,4.7,19.1,4.4,4.5
2004-08-01,1.3,4.7,24.0,4.4,4.7143
2004-09-01,1.1,4.7,29.7,4.6,4.75
2004-10-01,1.2,4.7,34.9,4.7,4.75
2004-11-01,1.5,4.7,28.1,4.9,4.75
2004-12-01,1.7,4.7,16.9,4.8,4.75
2005-01-01,1.6,4.8,19.5,4.8,4.75
2005-02-01,1.7,4.7,22.0,5.0,4.75
2005-03-01,1.9,4.7,34.3,5.1,4.75
2005-04-01,1.9,4.8,30.6,4.7,4.75
2005-05-01,1.9,4.8,17.8,4.3,4.75
2005-06-01,2.0,4.7,33.0,4.3,4.75
2005-07-01,2.3,4.7,38.1,4.5,4.75
2005-08-01,2.4,4.7,35.3,4.7,4.5341
2005-09-01,2.5,4.9,32.9,4.8,4.5
2005-10-01,2.3,5.1,25.0,4.5,4.5
2005-11-01,2.1,5.1,20.3,4.3,4.5
2005-12-01,1.9,5.1,31.1,4.3,4.5
2006-01-01,1.9,5.2,33.2,4.4,4.5
2006-02-01,2.0,5.2,35.1,4.9,4.5
2006-03-01,1.8,5.3,22.8,5.2,4.5
2006-04-01,2.0,5.4,22.3,5.4,4.5
2006-05-01,2.2,5.5,28.9,4.9,4.5
2006-06-01,2.5,5.5,19.2,4.9,4.5
2006-07-01,2.4,5.5,16.3,4.8,4.5
2006-08-01,2.5,5.5,8.7,4.6,4.7273
2006-09-01,2.4,5.5,1.9,3.9,4.75
2006-10-01,2.4,5.4,-8.4,3.8,4.75
2006-11-01,2.7,5.5,-3.0,3.9,4.9318
2006-12-01,3.0,5.5,-2.2,4.6,5.0
2007-01-01,2.7,5.5,-10.1,5.6,5.1705
2007-02-01,2.8,5.5,-9.8,6.7,5.25
2007-03-01,3.1,5.5,-8.0,6.4,5.25
